,dataset,id,editor,collaboration,process,exptype,year,reference2,frame,in1particle,in1energyunit,in2particle,out1particle,out2particle,out3particle,y1name,y1namelong,y1unit,y1value,y1errorstatistic,x1name,x1unit,x1value,x2name,x2unit,x2value,x3name,x3unit,x3value,x4name,x4unit,x4value,x5name,x5unit,x5value,xnames,xaxes,yaxis,filename,units,newunits,in1charge,in1energy,xB,Q2,t,phi,val,errplus,errminus,errstat,errsyst,errnorm,err,W,xi,tm,in1polarization,origval,origerr,origerrminus,origerrplus,origerrstat,origerrsyst,origerrnorm,newframe,s,y,eps,eps2,J,K2,K,tK2,tK,r,chi0,chi,intP1P2,P1P2
0,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,3.0106929596902186,0.00342,0.002,0.002,0.002,0.0,0.0,0.002,2.5383334571180907,0.2217470983506414,0.0442,0,0.00342,0.002,0.002,0.002,0.002,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
1,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,2.748893571891069,0.0009889,0.0018,0.0018,0.0018,0.0,0.0,0.0018,2.5383334571180907,0.2217470983506414,0.0442,0,0.0009889,0.0018,0.0018,0.0018,0.0018,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
2,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,2.4870941840919194,0.006148,0.0017,0.0017,0.0017,0.0,0.0,0.0017,2.5383334571180907,0.2217470983506414,0.0442,0,0.006148,0.0017,0.0017,0.0017,0.0017,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
3,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,2.2252947962927703,0.003598,0.0017,0.0017,0.0017,0.0,0.0,0.0017,2.5383334571180907,0.2217470983506414,0.0442,0,0.003598,0.0017,0.0017,0.0017,0.0017,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
4,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.9634954084936207,0.006038,0.0016,0.0016,0.0016,0.0,0.0,0.0016,2.5383334571180907,0.2217470983506414,0.0442,0,0.006038,0.0016,0.0016,0.0016,0.0016,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
5,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.7016960206944713,0.004234,0.0015,0.0015,0.0015,0.0,0.0,0.0015,2.5383334571180907,0.2217470983506414,0.0442,0,0.004234,0.0015,0.0015,0.0015,0.0015,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
6,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.439896632895322,0.009706,0.0014,0.0014,0.0014,0.0,0.0,0.0014,2.5383334571180907,0.2217470983506414,0.0442,0,0.009706,0.0014,0.0014,0.0014,0.0014,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
7,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.1780972450961724,0.004897,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.004897,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
8,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,0.9162978572970228,0.005587,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.005587,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
9,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,0.6544984694978733,0.003237,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.003237,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
10,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,0.39269908169872414,0.0006897,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.0006897,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
11,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,0.13089969389957457,0.002364,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.002364,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
12,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-0.13089969389957457,0.0001134,0.0011,0.0011,0.0011,0.0,0.0,0.0011,2.5383334571180907,0.2217470983506414,0.0442,0,0.0001134,0.0011,0.0011,0.0011,0.0011,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
13,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-0.3926990816987237,-0.001079,0.0011,0.0011,0.0011,0.0,0.0,0.0011,2.5383334571180907,0.2217470983506414,0.0442,0,-0.001079,0.0011,0.0011,0.0011,0.0011,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
14,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-0.6544984694978737,-0.003052,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,-0.003052,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
15,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-0.9162978572970228,-0.004234,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,-0.004234,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
16,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-1.1780972450961729,-0.005019,0.0013,0.0013,0.0013,0.0,0.0,0.0013,2.5383334571180907,0.2217470983506414,0.0442,0,-0.005019,0.0013,0.0013,0.0013,0.0013,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
17,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-1.439896632895322,-0.007067,0.0013,0.0013,0.0013,0.0,0.0,0.0013,2.5383334571180907,0.2217470983506414,0.0442,0,-0.007067,0.0013,0.0013,0.0013,0.0013,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
18,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-1.701696020694472,-0.0061,0.0014,0.0014,0.0014,0.0,0.0,0.0014,2.5383334571180907,0.2217470983506414,0.0442,0,-0.0061,0.0014,0.0014,0.0014,0.0014,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
19,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-1.9634954084936211,-0.008391,0.0016,0.0016,0.0016,0.0,0.0,0.0016,2.5383334571180907,0.2217470983506414,0.0442,0,-0.008391,0.0016,0.0016,0.0016,0.0016,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
20,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-2.2252947962927703,-0.007903,0.0016,0.0016,0.0016,0.0,0.0,0.0016,2.5383334571180907,0.2217470983506414,0.0442,0,-0.007903,0.0016,0.0016,0.0016,0.0016,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
21,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-2.4870941840919194,-0.006587,0.0017,0.0017,0.0017,0.0,0.0,0.0017,2.5383334571180907,0.2217470983506414,0.0442,0,-0.006587,0.0017,0.0017,0.0017,0.0017,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
22,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-2.7488935718910694,-0.006561,0.0017,0.0017,0.0017,0.0,0.0,0.0017,2.5383334571180907,0.2217470983506414,0.0442,0,-0.006561,0.0017,0.0017,0.0017,0.0017,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
23,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,-3.0106929596902186,-0.0002516,0.0016,0.0016,0.0016,0.0,0.0,0.0016,2.5383334571180907,0.2217470983506414,0.0442,0,-0.0002516,0.0016,0.0016,0.0016,0.0016,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
24,DataSet with 1080 points,142,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSD,Beam Spin Difference Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSD,BSD-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSD': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.2966455172813882,3.0106929596902186,-0.0003221,0.002,0.002,0.002,0.0,0.0,0.002,2.5383334571180907,0.2217470983506414,0.13,0,-0.0003221,0.002,0.002,0.002,0.002,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3460597451648727,-0.0028127600841782153,,-0.025106776832159193,,,,-0.015139297451869593,-4.259179541060593,
